ID,Title,Episodes,Type,Aired,Producers,Studios,Source,Genres,Duration,Score,Rating count,Rank,Popularity
50330,Bungou Stray Dogs 4th Season,13,TV,"Jan 4, 2023 to Mar 29, 2023","WOWOW, Lantis, Movic, Glovision, Crunchyroll, Kadokawa, Sony Music Solutions, Bandai Namco Music Live",Bones,Manga,"Action, Mystery",23 min. per ep.,8.44,121057,1692,813
50336,Nudist Beach ni Shuugaku Ryokou de!! The Animation Special,1,Special,"Jul 26, 2016",Pink Pineapple,Seven,Manga,,4 min.,6.77,802,Ranked: N/A2,11523
50337,Supergirl,1,Music,"Nov 7, 2021","None found, add some","None found, add some",Original,,3 min.,6.25,131,Ranked: N/A2,19941
50338,Kunoichi Tsubaki no Mune no Uchi,13,TV,"Apr 10, 2022 to Jul 3, 2022","Aniplex, Chugai Mining, BS11, Shogakukan, ADK Marketing Solutions",CloverWorks,Manga,"Action, Comedy",23 min. per ep.,7.11,23751,38092,2879
50339,Kakegurui Twin,6,ONA,"Aug 4, 2022","Square Enix, Avex Pictures",MAPPA,Manga,"Drama, Mystery, Suspense",25 min. per ep.,7.19,54759,33792,1970
50343,Ni Yian Jian Shen,156,ONA,"May 12, 2020 to Dec 6, 2022",iQIYI,"None found, add some",Original,"Action, Adventure, Fantasy",11 min. per ep.,N/A,,176452,15007
50346,Yofukashi no Uta,13,TV,"Jul 8, 2022 to Sep 30, 2022","Aniplex, Dentsu, Shogakukan-Shueisha Productions, Animax, Fuji TV, Ultra Super Pictures, Shogakukan, Fuji Creative, Tohan Corporation",LIDENFILMS,Manga,"Romance, Supernatural",22 min. per ep.,7.96,274870,7022,354
50347,Sasohan Nyanya,103,ONA,"Jul 10, 2019 to Jul 1, 2020","None found, add some",LICO,Original,,2 min. per ep.,N/A,,186032,22295
50348,Peter Grill to Kenja no Jikan: Super Extra,12,TV,"Oct 10, 2022 to Dec 26, 2022","Asmik Ace, BS Fuji, Futabasha, Universal Music Japan, Starry Cube, CTW, FUTURE LEAP","Seven, Wolfsbane",Manga,"Comedy, Fantasy, Erotica",12 min. per ep.,5.95,21780,Ranked: N/A2,2812
50349,Tamaya CM: Takusareta Omoi-hen,1,CM,"Dec 24, 2020",Studio Massket,G-angle,Original,,1 min.,6.41,224,Ranked: N/A2,16784
50352,Peko Random Brain!,1,Music,"Jan 12, 2021",Hololive Production,"None found, add some",Original,,1 min.,6.55,587,Ranked: N/A2,13762
50360,Mushoku Tensei: Isekai Ittara Honki Dasu - Eris no Goblin Toubatsu,1,Special,"Mar 16, 2022","Frontier Works, TOHO animation, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE Entertainment",Studio Bind,Light novel,"Adventure, Drama, Fantasy",23 min.,7.81,102691,9862,1314
50371,Ca' Foscari Cinema,1,Movie,"Feb 9, 2011","None found, add some","None found, add some",Original,,24 sec.,N/A,,192802,20873
50377,My Melody no Ookami-san ni Ki wo Tsukete,1,OVA,"Apr 21, 1994",Sanrio,"None found, add some",Other,,9 min.,N/A,,175102,19615
50378,Renjian Zui Deyi,60,ONA,"Oct 27, 2021 to May 11, 2022",Tencent Penguin Pictures,Suoyi Technology,Novel,"Action, Fantasy",12 min. per ep.,6.72,334,57112,12985
50379,Shoot! Goal to the Future,13,TV,"Jul 2, 2022 to Sep 24, 2022","AT-X, BS Fuji, Being, Amusement Media Academy, Crunchyroll, Yomiuri TV Enterprise, NTT Plala, Production Ace, BS NTV, MAGNET, HoriPro International","Magic Bus, EMT Squared",Manga,,23 min. per ep.,5.29,5533,124922,5341
50380,Paripi Koumei,12,TV,"Apr 5, 2022 to Jun 21, 2022","Mainichi Broadcasting System, Kodansha, Avex Pictures, DMM pictures, Bit grooove promotion",P.A. Works,Web manga,,23 min. per ep.,8.12,148390,4892,826
50383,VERSEⁿ: Episodeⁿ - Kuusou,1,ONA,"Nov 12, 2021","None found, add some",Enishiya,Original,,1 min.,6.33,272,80062,15179
50384,Mononogatari,12,TV,"Jan 10, 2023 to Mar 28, 2023","Shogakukan-Shueisha Productions, Shogakukan Music & Digital Entertainment, Shueisha, BS11, Quaras, GREE Entertainment, Bandai Namco Music Live, Happinet Phantom Studios",Bandai Namco Pictures,Manga,"Action, Fantasy",23 min. per ep.,7.25,25132,30702,2646
